State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
OR,Cuttack,2618708,94631,857,93404,5720,1434524,702278
OR,Deogarh,312164,6553,50,6460,682,223405,63727
OR,Dhenkanal,1192948,19871,243,19598,179477,738406,282859
OR,Gajapati,575880,9657,84,9555,715,288963,115535
OR,Ganjam,3520151,33849,485,33342,750442,2214981,1698328
OR,Jagatsinghpur,1136604,27920,316,27510,46648,677675,272499
OR,Jajpur,1826275,43735,172,43461,53956,1087735,383313
OR,Jharsuguda,579499,23863,176,23673,1663,399523,189682
OR,Kalahandi,1573054,24314,210,24082,1458,921185,304778
OR,Kandhamal,731952,11537,83,11453,1516,384009,150737
OR,Kendrapara,1439891,24860,252,24545,382732,916169,347854
OR,Kendujhar,1802777,20980,175,20798,474504,1087285,376311
OR,Khordha,2246341,175335,1552,171938,0,2063646,1502538
OR,Koraput,1376934,19137,78,19044,1401,860773,399063
OR,Malkangiri,612727,11667,49,11613,1841,391790,137925
OR,Mayurbhanj,2513895,40844,286,40416,3307,1222153,413698
OR,Nabarangapur,1218762,23549,86,23461,162154,675601,188457
OR,Nayagarh,962215,23505,212,23261,1104,593612,222606
OR,Nuapada,606490,22924,84,22803,310,402248,129685
OR,Puri,1697983,45431,459,44903,173340,1078666,523160
OR,Rayagada,961959,20224,167,19981,578,549767,184420
OR,Sambalpur,1044410,31651,240,31315,2007,768989,418110
OR,Subarnapur,652107,13187,61,13115,0,418336,192102
OR,Sundargarh,2080664,61841,594,61167,0,1122762,490428
PB,Amritsar,2490891,47379,1598,45757,89227,1263073,446487
PB,Barnala,596294,5950,244,5696,63447,328464,104197
PB,Bathinda,1388859,41728,1042,40668,118489,623604,202311
PB,Faridkot,618008,13927,315,13602,23635,330654,128653
PB,Fatehgarh Sahib,599814,8876,335,8538,68436,354921,135247
PB,Fazilka,1180483,20271,528,19729,63589,490080,131519
PB,Ferozepur,2026831,14347,504,13832,74880,476343,128043
PB,Gurdaspur,2299026,22381,801,21576,249039,862133,415351
PB,Hoshiarpur,1582793,30822,986,29828,221261,1000636,574716
PB,Jalandhar,2181753,63396,1496,61864,443735,1433553,681370
PB,Kapurthala,817668,17852,556,17294,38658,465285,187476
PB,Ludhiana,3487882,87608,2106,85484,514691,2473646,943401
PB,Mansa,768808,15606,380,15226,26878,372366,89830
PB,Moga,992289,8675,233,8440,77307,541556,178908
PB,Pathankot,626154,18814,419,18373,29112,424889,196822
PB,Patiala,2892282,48927,1358,47561,273344,1051467,396473
PB,Rupnagar,683349,12963,423,12517,97745,384637,182919
PB,S.A.S. Nagar,986147,68821,1068,67726,41532,872096,402212
PB,Sangrur,1654408,15762,875,14884,166332,730511,218820
PB,Shahid Bhagat Singh Nagar,614362,11469,388,11080,77715,392113,172294
PB,Sri Muktsar Sahib,902702,18784,524,18257,67979,473193,142901
PB,Tarn Taran,1120070,8043,380,7659,111446,597303,178839
PY,Karaikal,200222,16488,250,16150,73142,111152,57491
PY,Mahe,41816,5867,47,5744,42415,34018,25943
PY,Puducherry,950289,98885,1453,97171,425639,558708,305464
PY,Yanam,55626,6773,107,6661,26727,30079,15489
RJ,Ajmer,2584913,37769,410,37352,261215,1752308,1042482
RJ,Alwar,3671999,59694,307,59387,291879,2237787,1029095
RJ,Banswara,1798194,10005,104,9901,48781,1024293,525793
RJ,Baran,1223921,11996,61,11934,46168,763006,297741
RJ,Barmer,2604453,15563,185,15377,113868,1455732,621465
RJ,Bharatpur,2549121,19601,260,19341,201441,1351114,590401
RJ,Bhilwara,2410459,29781,156,29625,148764,1525323,723691
RJ,Bikaner,2367745,40339,545,39792,278302,1461174,714590
RJ,Bundi,1113725,7967,48,7919,58167,709316,362835
RJ,Chittorgarh,1544392,19809,139,19670,116002,978713,482350
RJ,Churu,2041172,16720,107,16613,131700,1301558,582443
